# ['Human-SARS ORF1ab ORF1ab polyprotein', 'Human-SARS S spike glycoprotein', 'Human-SARS ORF3a ORF3a protein', 'Human-SARS ORF3b ORF3b protein', 'Human-SARS E small envelope protein', 'Human-SARS M membrane glycoprotein M', 'Human-SARS ORF6 ORF6 protein', 'Human-SARS ORF7a ORF7a protein', 'Human-SARS ORF7b ORF7b protein', 'Human-SARS ORF8a ORF8a protein', 'Human-SARS ORF8b ORF8b protein', 'Human-SARS N nucleocapsid protein', 'Human-SARS ORF9b protein', 'Human-SARS N ORF9a protein', 'Bat-CoV RaTG13 orf1ab orf1ab polyprotein', 'Bat-CoV RaTG13 S spike glycoprotein', 'Bat-CoV RaTG13 NS3 nonstructural protein NS3', 'Bat-CoV RaTG13 E envelope protein', 'Bat-CoV RaTG13 M membrane protein', 'Bat-CoV RaTG13 NS6 nonstructural protein NS6', 'Bat-CoV RaTG13 NS7a nonstructural protein NS7a', 'Bat-CoV RaTG13 NS7b nonstructural protein NS7b', 'Bat-CoV RaTG13 NS8 nonstructural protein NS8', 'Bat-CoV RaTG13 N nucleocapsid protein', 'Pangolin-CoV MP789 orf1ab orf1ab polyprotein', 'Pangolin-CoV MP789 S surface glycoprotein', 'Pangolin-CoV MP789 ORF3 ORF3 protein', 'Pangolin-CoV MP789 E envelope protein', 'Pangolin-CoV MP789 M membrane glycoprotein', 'Pangolin-CoV MP789 ORF6 ORF6 protein', 'Pangolin-CoV MP789 ORF7a ORF7a protein', 'Pangolin-CoV MP789 ORF7b ORF7b protein', 'Pangolin-CoV MP789 ORF8 ORF8 protein', 'Pangolin-CoV MP789 N nucleocapsid phosphoprotein', 'Pangolin-CoV MP789 ORF10 ORF10 protein', 'ORF-1', 'ORF-2', 'ORF-3', 'ORF-4', 'ORF-5']
7073,336,85,37,22,65,14,42,18,14,25,100,36,19,5996,370,84,22,65,23,40,15,40,131,6018,332,82,22,51,20,37,15,34,105,16,473,35,164,1312,81
0,1255,81,40,23,62,24,39,16,10,30,124,29,13,342,951,71,23,74,16,35,15,42,118,341,933,74,23,74,20,38,15,35,126,18,139,47,511,308,71
0,0,274,31,20,55,15,22,8,8,24,56,23,24,87,76,198,18,52,18,24,12,26,57,90,76,192,18,53,18,30,14,23,58,11,64,31,61,75,195
0,0,0,154,19,37,15,30,8,12,19,33,28,11,46,44,34,24,29,20,33,9,23,34,46,42,34,24,29,20,31,10,24,40,10,43,26,44,38,38
0,0,0,0,76,19,17,19,15,6,11,23,15,10,20,19,18,71,23,15,16,14,18,14,19,20,17,71,23,17,15,13,18,18,12,25,23,17,20,20
0,0,0,0,0,221,21,24,9,7,20,50,25,15,53,58,51,19,198,17,26,8,27,54,53,58,52,19,196,16,25,11,22,54,9,51,117,61,64,48
0,0,0,0,0,0,63,15,11,5,9,16,16,9,17,17,14,17,20,35,17,8,13,14,14,17,14,17,20,36,13,8,18,14,9,21,16,18,23,18
0,0,0,0,0,0,0,122,14,10,24,35,17,17,42,41,26,19,28,17,100,9,23,29,39,41,30,19,28,10,99,10,24,29,11,31,20,35,32,31
0,0,0,0,0,0,0,0,44,11,11,7,11,5,18,14,16,15,11,10,15,34,9,10,18,14,17,15,12,11,15,32,8,10,8,11,10,14,18,17
0,0,0,0,0,0,0,0,0,39,12,11,8,11,8,9,8,7,7,4,11,7,13,9,8,9,8,7,7,5,11,9,12,9,6,7,7,9,14,8
0,0,0,0,0,0,0,0,0,0,84,26,19,12,26,29,25,12,19,7,18,10,25,27,26,21,24,12,19,9,17,10,26,25,12,25,21,18,26,25
