# ['Human-SARS-CoV-2', 'Human-SARS', 'Human-MERS', 'Human-HCoV-OC43', 'Human-HCoV-229E', 'Human-HCoV-NL63', 'Human-HCoV-HKU1', 'Bat-CoV MOP1', 'Bat-CoV HKU8', 'Bat-CoV HKU2', 'Bat-CoV HKU5', 'Bat-CoV RaTG13', 'Bat-CoV-ENT', 'Hedgehog-CoV 2012-174/GER/2012', 'Pangolin-CoV MP789', 'Rabbit-CoV HKU14', 'Duck-CoV isolate DK/GD/27/2014', 'Feline infectious peritonitis virus', 'Giraffe-CoV US/OH3/2003', 'Murine-CoV MHV/BHKR_lab/USA/icA59_L94P/2012', 'Equine-CoV Obihiro12-2']
6722,4548,-579,-677,-1229,-1233,-996,-1194,-1322,-1112,-453,6499,-603,-504,5787,-510,-905,-1437,-630,-642,-876
4548,6632,-603,-781,-1028,-1547,-727,-1548,-1320,-1262,-410,4626,-758,-528,4398,-578,-1081,-1507,-735,-563,-733
-596,-624,7124,-317,-1284,-1605,-768,-1716,-1419,-1657,3508,-583,-415,2535,-741,-346,-1547,-1650,-408,-483,-537
-604,-578,-335,7227,-1450,-1538,3543,-1634,-1330,-1243,-446,-632,6260,-389,-749,6189,-1070,-1488,6268,3288,5119
-1221,-985,-1264,-1452,6119,2861,-1364,1101,1218,-869,-1078,-1223,-1475,-1383,-1241,-1345,-728,1192,-1441,-1323,-1505
-1352,-1503,-1608,-1556,2883,7124,-1579,1196,1133,-1234,-1502,-1335,-1580,-1639,-1346,-1623,-870,854,-1580,-1417,-1646
-976,-731,-743,3568,-1387,-1588,7254,-1501,-1519,-1285,-833,-1068,3555,-505,-922,3528,-1162,-1642,3579,3092,3660
-1216,-1552,-1694,-1661,1094,1200,-1511,7175,1900,-1197,-1415,-1203,-1595,-1361,-1396,-1614,-1133,725,-1582,-1449,-1743
-1300,-1370,-1419,-1396,1225,1112,-1581,1903,7215,-1289,-1603,-1277,-1414,-1694,-1268,-1506,-1066,903,-1459,-1644,-1736
-1122,-1321,-1673,-1142,-858,-1242,-1312,-1189,-1297,6016,-1289,-1149,-1361,-1152,-1124,-1181,-928,-1843,-1324,-1331,-1278
-482,-419,3473,-518,-1068,-1450,-857,-1431,-1569,-1315,7148,-481,-495,2712,-519,-394,-1391,-1537,-415,-527,-642
6499,4626,-525,-712,-1232,-1316,-1092,-1196,-1306,-1154,-455,6704,-680,-457,5715,-493,-997,-1504,-540,-642,-861
-522,-693,-460,6260,-1474,-1573,3536,-1554,-1417,-1458,-500,-654,7281,-347,-682,6650,-1082,-1357,7122,3362,5369
-505,-531,2521,-394,-1440,-1656,-459,-1378,-1695,-1156,2721,-453,-345,7025,-433,-370,-1354,-1240,-277,-556,-466
5786,4404,-710,-811,-1233,-1370,-939,-1305,-1290,-1098,-496,5714,-752,-424,6674,-673,-1081,-1490,-762,-704,-743
-485,-527,-394,6189,-1335,-1601,3501,-1487,-1502,-1284,-423,-479,6650,-388,-653,7264,-1051,-1517,6667,3428,5343
-860,-1061,-1601,-1069,-720,-839,-1152,-1135,-1009,-925,-1354,-967,-1101,-1399,-1065,-1110,6280,-1112,-1176,-1269,-1321
-1438,-1472,-1619,-1465,1220,828,-1591,742,910,-1852,-1628,-1518,-1356,-1213,-1492,-1511,-1124,7680,-1630,-1362,-1682
-549,-673,-447,6268,-1440,-1567,3560,-1514,-1462,-1392,-420,-512,7122,-287,-705,6667,-1145,-1627,7252,3401,5401
-627,-521,-460,3312,-1272,-1406,3107,-1435,-1635,-1359,-466,-635,3371,-598,-670,3438,-1286,-1345,3410,7064,3407
-847,-677,-483,5121,-1475,-1624,3659,-1657,-1736,-1336,-622,-852,5386,-487,-743,5360,-1282,-1692,5418,3400,7267
