# ['Human-SARS ORF1ab ORF1ab polyprotein', 'Human-SARS S spike glycoprotein', 'Human-SARS ORF3a ORF3a protein', 'Human-SARS ORF3b ORF3b protein', 'Human-SARS E small envelope protein', 'Human-SARS M membrane glycoprotein M', 'Human-SARS ORF6 ORF6 protein', 'Human-SARS ORF7a ORF7a protein', 'Human-SARS ORF7b ORF7b protein', 'Human-SARS ORF8a ORF8a protein', 'Human-SARS ORF8b ORF8b protein', 'Human-SARS N nucleocapsid protein', 'Human-SARS ORF9b protein', 'Human-SARS N ORF9a protein', 'Bat-CoV RaTG13 orf1ab orf1ab polyprotein', 'Bat-CoV RaTG13 S spike glycoprotein', 'Bat-CoV RaTG13 NS3 nonstructural protein NS3', 'Bat-CoV RaTG13 E envelope protein', 'Bat-CoV RaTG13 M membrane protein', 'Bat-CoV RaTG13 NS6 nonstructural protein NS6', 'Bat-CoV RaTG13 NS7a nonstructural protein NS7a', 'Bat-CoV RaTG13 NS7b nonstructural protein NS7b', 'Bat-CoV RaTG13 NS8 nonstructural protein NS8', 'Bat-CoV RaTG13 N nucleocapsid protein', 'Pangolin-CoV MP789 orf1ab orf1ab polyprotein', 'Pangolin-CoV MP789 S surface glycoprotein', 'Pangolin-CoV MP789 ORF3 ORF3 protein', 'Pangolin-CoV MP789 E envelope protein', 'Pangolin-CoV MP789 M membrane glycoprotein', 'Pangolin-CoV MP789 ORF6 ORF6 protein', 'Pangolin-CoV MP789 ORF7a ORF7a protein', 'Pangolin-CoV MP789 ORF7b ORF7b protein', 'Pangolin-CoV MP789 ORF8 ORF8 protein', 'Pangolin-CoV MP789 N nucleocapsid phosphoprotein', 'Pangolin-CoV MP789 ORF10 ORF10 protein', 'ORF-1', 'ORF-2', 'ORF-3', 'ORF-4', 'ORF-5']
0,2052,565,276,111,379,111,261,80,76,151,716,186,164,1350,2210,474,109,383,107,211,69,281,733,1325,1957,481,109,356,117,217,69,213,793,63,28,212,1026,173,479
2052,0,508,279,147,426,114,247,71,57,119,773,121,122,2052,396,499,126,435,100,183,55,175,739,2051,427,490,126,435,103,187,53,183,801,85,823,234,82,1563,495
565,508,0,162,117,269,115,175,69,58,158,430,137,117,507,466,99,130,273,96,164,61,193,395,563,464,108,130,271,95,164,81,165,386,40,399,221,437,481,102
276,279,162,0,109,224,119,155,62,77,124,268,131,121,271,253,181,128,219,114,144,68,147,324,274,255,184,128,222,113,164,67,139,271,68,248,145,253,236,255
111,147,117,109,0,121,82,110,49,61,93,143,96,76,132,128,145,6,117,82,97,44,100,126,133,129,148,6,117,81,97,45,84,123,63,166,117,117,132,116
379,426,269,224,121,0,105,172,69,56,115,367,115,129,360,377,290,130,28,96,147,69,187,367,360,382,291,130,31,97,150,87,178,369,61,327,19,444,398,295
111,114,115,119,82,105,0,73,51,57,86,98,83,53,109,107,113,78,81,36,100,62,110,99,93,122,112,78,81,35,95,62,104,99,47,107,100,114,113,108
261,247,175,155,110,172,73,0,77,62,122,263,123,104,260,220,184,112,173,102,28,71,124,192,245,225,191,112,173,70,30,69,126,191,57,216,147,249,205,188
80,71,69,62,49,69,51,77,0,50,53,75,81,62,83,72,78,61,69,68,72,9,71,71,83,72,64,61,69,52,75,12,86,71,54,68,72,72,83,64
76,57,58,77,61,56,57,62,50,0,62,60,54,48,71,71,90,51,58,55,60,53,41,45,71,71,91,51,58,57,61,48,43,45,44,68,58,71,54,90
151,119,158,124,93,115,86,122,53,62,0,116,89,97,150,114,149,89,117,71,123,79,121,132,150,129,150,89,116,67,122,76,103,136,70,128,84,162,150,149
716,773,430,268,143,367,98,263,75,60,116,0,154,107,833,720,360,107,379,102,177,59,138,59,761,686,358,107,355,98,166,59,132,61,59,572,200,568,631,361
186,121,137,131,96,115,83,123,81,54,89,154,0,111,192,214,187,92,121,85,125,64,121,170,188,182,197,92,121,81,118,60,107,172,57,159,121,171,159,186
164,122,117,121,76,129,53,104,62,48,97,107,111,0,101,157,87,76,134,50,84,49,101,125,101,118,87,76,134,49,84,72,90,121,40,137,96,118,101,88
1350,2052,507,271,132,360,109,260,83,71,150,833,192,101,0,2280,461,128,326,62,168,93,191,680,332,2341,466,128,331,96,215,58,183,763,69,6,211,948,14,468
2210,396,466,253,128,377,107,220,72,71,114,720,214,157,2280,0,520,144,400,95,244,58,189,764,2285,186,510,144,406,96,216,57,152,724,59,792,251,2,1618,596
474,499,99,181,145,290,113,184,78,90,149,360,187,87,461,520,0,139,283,102,192,58,186,388,461,561,10,139,286,100,194,58,168,390,50,460,209,406,471,8
109,126,130,128,6,130,78,112,61,51,89,107,92,76,128,144,139,0,111,81,97,66,99,126,128,145,141,0,111,82,97,67,83,123,63,168,111,133,132,109
383,435,273,219,117,28,81,173,69,58,117,379,121,134,326,400,283,111,0,106,153,69,172,378,399,396,295,113,3,98,150,69,165,386,40,287,2,372,324,299
107,100,96,114,82,96,36,102,68,55,71,102,85,50,62,95,102,81,106,0,101,41,97,102,93,97,101,77,106,2,106,41,98,101,47,92,86,114,107,101
