# ['Human-SARS-CoV-2', 'Human-SARS', 'Human-MERS', 'Human-HCoV-OC43', 'Human-HCoV-229E', 'Human-HCoV-NL63', 'Human-HCoV-HKU1', 'Bat-CoV MOP1', 'Bat-CoV HKU8', 'Bat-CoV HKU2', 'Bat-CoV HKU5', 'Bat-CoV RaTG13', 'Bat-CoV-ENT', 'Hedgehog-CoV 2012-174/GER/2012', 'Pangolin-CoV MP789', 'Rabbit-CoV HKU14', 'Duck-CoV isolate DK/GD/27/2014', 'Feline infectious peritonitis virus', 'Giraffe-CoV US/OH3/2003', 'Murine-CoV MHV/BHKR_lab/USA/icA59_L94P/2012', 'Equine-CoV Obihiro12-2']
6722,5145,1183,972,474,429,845,400,507,411,1125,6531,992,1091,6029,1049,543,397,1000,1091,842
5139,6632,1138,1011,475,413,871,334,417,364,1249,5172,1008,1185,5074,1043,553,429,1056,1093,922
1171,1126,7124,1159,299,336,1097,186,292,194,4533,1156,1147,3750,1077,1108,282,377,1109,1178,1046
990,999,1153,7227,337,411,4484,215,388,328,1178,959,6577,1170,973,6520,430,274,6582,4410,5798
462,481,299,325,6119,3291,345,1888,2067,527,250,470,368,336,489,338,899,1690,393,455,356
375,371,360,435,3291,7124,406,2714,2744,299,375,373,408,247,454,465,687,2395,417,181,359
863,883,1079,4484,375,358,7254,349,290,163,921,863,4578,1155,828,4602,423,392,4611,4242,4644
406,292,192,257,1894,2702,355,7175,3084,331,427,448,272,358,454,260,514,2254,240,219,198
471,429,328,388,2049,2738,260,3090,7215,242,161,474,423,278,546,378,614,2527,385,244,330
417,358,206,316,503,323,193,343,254,6016,215,423,339,443,459,344,413,-143,376,386,264
1131,1279,4539,1178,256,375,927,421,149,191,7148,1050,1169,3830,1144,1153,384,332,1261,1205,1112
6531,5178,1150,977,488,439,833,460,492,411,1050,6704,989,1120,5978,1059,516,349,1022,1046,893
1010,990,1147,6571,374,426,4590,254,459,375,1187,965,7281,1205,941,6882,410,414,7159,4472,6053
1067,1185,3762,1188,324,229,1167,358,314,407,3806,1096,1217,7025,1100,1197,394,495,1267,1209,1086
6029,5080,1077,973,483,436,828,442,570,459,1114,5978,959,1094,6674,1069,501,431,1012,1072,843
1061,1049,1138,6520,314,459,4602,266,402,368,1171,1047,6882,1197,1027,7264,386,382,6880,4478,6033
531,499,276,394,887,705,417,496,602,407,360,516,398,388,483,368,6280,678,400,439,363
397,447,359,256,1714,2389,410,2296,2527,-131,362,343,390,519,437,352,702,7680,310,327,395
1018,1038,1121,6576,375,423,4617,210,421,418,1273,998,7159,1255,994,6880,412,304,7252,4497,6074
1085,1075,1172,4416,449,181,4236,231,232,374,1217,1028,4466,1185,1054,4478,433,297,4491,7064,4423
890,922,1058,5804,326,383,4644,234,288,288,1112,905,6053,1092,885,6033,351,401,6074,4423,7267
